All,Wszystko
"File with an extension ""%value%"" is protected and cannot be uploaded","Plik z rozszerzeniem %value%"" jest chroniony i nie może być przesłany."""
"Unable to create directory: %1","Nie udało się utworzyć katalogu: %1"
"Unable to save file: %1","Nie udało się zapisać pliku: %1"
"Storage Configuration for Media","Konfiguracja składowania mediów"
"Select Media Database","Wybierz bazę danych mediów"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","Po wybraniu nowej lokalizacji przechowywania multimediów naciśnij przycisk Synchronizuj, aby przenieść wszystkie multimedia do tej lokalizacji. Nośniki nie będą dostępne w nowej lokalizacji do czasu zakończenia procesu synchronizacji."
"Environment Update Time","Czas aktualizacji środowiska"
"The ""%1"" file doesn't exist. Verify the file and try again.","Plik ""%1"" nie istnieje. Zweryfikuj plik i spróbuj ponownie."
"Cannot resize image ""%1"" - original image not found","Nie można zmienić rozmiaru obrazu ""%1"" - nie znaleziono oryginalnego obrazu"
"Cannot resize images - product images not found","Nie można zmienić rozmiaru obrazów - nie znaleziono obrazów produktów"
"Some exception","Jakiś wyjątek"
"To see product price, add this item to your cart. You can always remove it later.","Dodaj ten produkt do koszyka, żeby zobaczyć jego cenę. Możesz go zawsze później usunąć."
"On Gesture","Na życzenie"
"In Cart","W koszyku"
"Before Order Confirmation","Przed potwierdzeniem zamówienia"
"Order total will be displayed before you submit the order","Łączne Zamówienie zostanie wyświetlona przed wysłaniem zamówienia"
"You will see the order total before you submit the order.","Suma zamówienia zostanie wyświetlona przed złożeniem zamówienia."
"Actual Price","Aktualna cena"
"Minimum Advertised Price","Minimalna reklamowana cena"
"Enable MAP","Włącz MAP"
"Display Actual Price","Pokaż aktualną cenę"
"Default Popup Text Message","Domyślny tekst wiadomości wyskakującego okienka"
"Default ""What's This"" Text Message","Domyślny tekst wiadomości ""Co to jest?"""
"<strong style=""color:red"">Warning!</strong> Enabling MAP by default will hide all product prices on Storefront.","<strong style=""color:red"">Ostrzeżenie!</strong> Domyślne włączenie MAP ukryje wszystkie ceny produktów w Storefront."
Wishlist,Schowek
"Customer's Wish List Report","Raport listy życzeń klienta"
"My Wish Lists","Moje listy życzeń"
"1 item in wish list","1. produkt na liście życzeń"
"%1 items in wish list","%1 produktów na liście życzeń"
"Wish List Search","Szukaj listy życzeń"
"Customer Wish List Report","Raport listy życzeń klienta"
"Wish list ""%1"" was saved.","Lista życzeń ""%1"" została zapisana."
"We can't create the wish list right now.","Nie możemy teraz stworzyć listy życzeń."
"""%1"" was copied to %2.","""%1"" został skopiowany do %2."
"We can't find the item.","Nie możemy znaleźć produktu."
"""%1"" is already present in %2.","""%1"" jest już obecny w %2."
"We can't copy ""%1"".","Nie można skopiować ""%1""."
"We can't copy the wish list item.","Nie można skopiować elementu listy życzeń."
"We can't find %1 items.","Nie można znaleźć produktów %1."
"We can't copy %1 items.","Nie można skopiować produktów %1."
"%1 items are already present in %2: %3.","%1 produkty są już obecne w %2: %3."
"%1 items were copied to %2: %3.","%1 produkty zostały skopiowane do %2: %3."
"You can't delete the default wish list.","Nie można usunąć domyślnej listy życzeń."
"Wish List ""%1"" has been deleted.","Usunięto schowek ""%1""."
"We can't delete the wish list right now.","Nie możesz teraz usunąć listy życzeń."
"""%1"" was moved to %2.","""%1"" zostało przeniesione do %2."
"We can't find an item with this ID.","Nie możemy znaleźć produktu z tym identyfikatorem."
"We cannot move ""%1"".","Nie można skopiować ""%1""."
"We can't move the wish list item.","Nie można przenieść produktu listy życzeń."
"%1 items cannot be moved: %2.","Produkty %1 nie mogą być przeniesione: %2."
"We can't move %1 items.","Nie można przenieść produktu %1."
"%1 items were moved to %2: %3.","%1 produkty zostały przeniesione do %2: %3."
"%1 for ""%2""","%1 na ""%2"""
"We can't add the item to shopping cart.","Nie można dodać produktu do koszyka."
"We can't add the following product(s) to shopping cart: %1.","Nie można dodać następujących produktów do koszyka: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Produkt(y) %1 posiada(ją) wymagane opcje. Każda z nich może być dodana wyłącznie oddzielnie."
"%1 product(s) have been added to shopping cart: %2.","%1 produkt(y) został dodany do koszyka: %2."
"Please reenter your search options.","Proszę wprowadzić opcje wyszukiwania."
"We could not perform the search.","Nie można wykonać wyszukiwania."
"Owner Name","Nazwa Właściciela"
"Owner Email","Adres e-mail właściciela"
"%1's Wish List","Lista życzeń %1"
"%1's Wish List (%2)","%1 listy życzeń (%2)"
"Sign in to edit wish lists.","Zaloguj się, aby edytować listę życzeń."
"The wish list is not assigned to your account and can't be edited.","Ten schowek nie jest przypisany do twojego konta i nie może być edytowany."
"Provide the wish list name.","Podaj nazwę listy życzeń."
"Wish list ""%1"" already exists.","Lista życzeń ""%1"" już istnieje."
"Only %1 wish list(s) can be created.","Maksymalna liczba list życzeń jaką można utworzyć to %1."
"Unknown Magento error","Nieznany błąd Magento"
"All Wish Lists","Wszystkie listy życzeń"
"Add To Order","Dodaj do zamówienia"
"Configure and Add to Order","Konfiguruj i dodaj do zamówienia"
"No items","Brak produktów"
"Delete Wish List","Usuń listę życzeń"
"Wish List Items","Produkty na liście życzeń"
"You must select items to add to the cart.","Należy dodać produkty do koszyka."
"Add to:","Dodaj do:"
"Create New Wish List","Utwórz nową listę życzeń"
"Copy to Wish List","Kopiuj do listy życzeń"
"Wish List Name","Nazwa listy życzeń"
"Create Wish List","Utwórz listę życzeń"
"Edit Wish List","Edytuj listę życzeń"
"Public Wish List","Publiczna lista życzeń"
"Private Wish List","Prywatna listy życzeń"
"Move Selected to Wish List","Przenieś zaznaczone do listy życzeń"
"Copy Selected to Wish List","Kopiuj zaznaczone do listy życzeń"
"We can't create the Wish List right now.","Nie możemy teraz stworzyć listy życzeń."
"Please select items to move.","Wybierz elementy do przeniesienia."
"Please select items to copy.","Wybierz elementy do skopiowania."
"Are you sure you want to delete your wish list? This action can't be undone.","Czy na pewno chcesz usunąć z listę życzeń? Tej akcji nie można cofnąć."
"Wish Lists","Listy życzeń"
"Enable Multiple Wish Lists","Włącz wiele list życzeń"
"Number of Multiple Wish Lists","Liczba list życzeń"
"The number of multiple wish lists should be equal to or more than 2.","Liczba listy życzeń powinna być równa lub większa niż 2."
"My Wish Lists Link","Mój link listy życzeń"
"Display Wish Lists Summary","Wyświetl podsumowanie schowka"
"Wish List Search Description","Opis wyszukiwania schowka"
"Wish List Search Template","Domyślny szablon wyszukiwania"
"Wish List Quantity","Ilość Listy Życzeń"
"Store Quantity","Ilość Sklepów"
"Surplus / Deficit","Nadwyżki / deficytu"
"Product Info","Informacje o produkcie"
"Could not create a wish list.","Nie można utworzyć listy życzeń."
"The default wish list can't be deleted.","Domyślnej listy życzeń nie można usunąć."
"Edit wish list","Edytuj listę życzeń"
"Ship to Multiple Addresses","Dostawa pod wiele adresów"
"Billing Information - %1","Informacje o płatności - %1"
"Review Order - %1","Podgląd zamówienia - %1"
"Total for this address","Łącznie dla tego adresu"
"Edit Billing Address","Zmień adres rozliczeniowy"
"Edit Shipping Address","Zmień adres dostawy"
"Create Billing Address","Utwórz adres rozliczeniowy"
"Create Shipping Address","Utwórz adres dostawy"
"Data saving problem","Problem podczas zapisywania danych"
"We cannot open the overview page.","Nie można otworzyć strony przeglądu."
"Please agree to all Terms and Conditions before placing the order.","Musisz zgodzić się z ogólnymi warunkami składania zamówienia zanim złożysz zamówienie."
"Order place error","Błąd składania zamówienia"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maksymalna ilość produktów, którą można dostarczyć do różnych adresów to %1"
"Please check shipping address information.","Sprawdź informacje o adresie wysyłki."
"Please check billing address information.","Sprawdź informacje o adresie rozliczeniowym."
"Please select shipping methods for all addresses.","Wybierz metody wysyłki dla wszystkich adresów."
"A payment method is not defined.","Metoda płatności nie jest zdefiniowana."
"The requested payment method is not available for multishipping.","Żądana metoda płatności nie jest dostępna dla multishippingu."
"Item not found or already ordered","Pozycja nie została znaleziona lub została już zamówiona"
"Please specify a payment method.","Prosimy o określenie metody płatności."
"Please check shipping addresses information.","Prosimy o sprawdzenie informacji o adresie wysyłki."
"Please specify shipping methods for all addresses.","Prosimy o podanie metod wysyłki dla wszystkich adresów."
"Some addresses cannot be used due to country-specific configurations.","Niektóre adresy nie mogą być używane ze względu na konfiguracje specyficzne dla danego kraju."
"Quote address for failed order not found.","Nie znaleziono adresu cytowania dla nieudanego zamówienia."
"Exception for failed order not found.","Nie znaleziono wyjątku dla nieudanego zamówienia."
"Select Addresses","Wybierz adresy"
"Shipping Information","Informacje o dostawie"
"Billing Information","Informacje rozliczeniowe"
"Order Success","Zamówienie zostało przyjęte"
"Order Results","Wyniki zamówienia"
"Default Billing","Domyślne rozliczenie"
"Default Shipping","Domyślna dostawa"
"Select Address","Wybierz adres"
"Back to Billing Information","Wróć do informacji o płatności"
"Please select a shipping address for applicable items.","Wybierz adres dostawy dla odpowiednich produktów."
"Send To","Wyślij do"
"A shipping selection is not applicable.","Wybór dostawy jest niedostępny."
"Go to Shipping Information","Przejdź do informacji o wysyłce"
"Update Qty &amp; Addresses","Aktualizuj ilość i adresy"
"Enter a New Address","Dodaj nowy adres"
"Back to Shopping Cart","Wróć do koszyka"
"Go to Review Your Order","Przejdź do przeglądu zamówienia"
"Back to Shipping Information","Wróć do informacji o dostawie"
"Other items in your order","Inne elementy zamówienia"
"Edit Items","Edytuj produkty"
"Shipping is not applicable.","Nie dotyczy wysyłki."
"Check Out with Multiple Addresses","Zamówienie na wiele adresów"
"Please see",Zobacz
"details below","szczegóły poniżej"
"Shipping To","Dostawa do"
"Order Review","Podgląd zamówienia"
"Grand Total:",Łącznie:
"Submitting order information...","Przetwarzanie zamówienia..."
"Not all items were included.","Nie wszystkie elementy zostały uwzględnione."
"For details, see","Szczegółowe informacje można znaleźć na stronie"
"Failed to Order","Nie udało się zamówić"
"section below","sekcja poniżej"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","W przypadku pomyślnie zamówionych przedmiotów otrzymasz wiadomość e-mail z potwierdzeniem, zawierającą numery zamówień, informacje o śledzeniu i więcej szczegółów."
"Successfully Ordered","Zamówienie złożone pomyślnie"
"No shipping required.","Wysyłka nie jest wymagana."
"To purchase these items: Return to the","Aby kupić te przedmioty: Powrót do"
"Review page in Checkout","Strona recenzji w usłudze Checkout"
"resolve any errors, and place a new order.","rozwiązać wszelkie błędy i złożyć nowe zamówienie."
"Address %1 <span>of %2</span>","Adres %1 <span>z %2</span>"
"Sorry, no quotes are available for this order right now.","Przepraszamy, żadne oferty nie są dostępne dla tego zamówienia w tym momencie."
"Continue to Billing Information","Przejdź dalej do szczegółów płatności"
"Back to Select Addresses","Wróć do wyboru adresów"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","W przypadku pomyślnego zamówienia otrzymasz wiadomość e-mail z potwierdzeniem, zawierającą numery zamówień, informacje o śledzeniu i inne szczegóły."
"Successfully ordered","Zamówienie zakończone sukcesem"
"We can't complete your order because you don't have a payment method set up.","Nie możemy dokończyć zamówienia ponieważ nie masz ustawionej metody płatności."
"Multishipping Settings Section","Sekcja Ustawień Multi Wysyłek"
"Multishipping Settings","Dostawa na wiele adresów"
"Allow Shipping to Multiple Addresses","Pozwól na dostawę do wielu adresów"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maksymalna ilość w koszyku dla dostawy pod wiele adresów"
"Review Order","Podgląd zamówienia"
"We could only complete part of your order.","Mogliśmy zrealizować tylko część zamówienia."
"We were unable to complete your order.","Nie mogliśmy zrealizować zamówienia."
"Select Shipping Method","Wybierz formę dostawy"
"Thanks for your order. We'll email you order details and tracking information.","Dziękujemy za zamówienie. Szczegóły zamówienia i informacje o śledzeniu zostaną przesłane e-mailem."
"Your order numbers are: ","Numery zamówień to:"
"Your order number is: ","Numer zamówienia to:"
"We are unable to process your request. Please, try again later.","Nie możemy przetworzyć Twojego żądania. Spróbuj ponownie później."
"Ship to:","Dane dostawy:"
Error:,Błąd:
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","Maksymalna ilość nie może być większa niż %1 w przypadku wysyłki na wiele adresów. Zmień ilość i spróbuj ponownie."
"Verify the shipping address information and continue.","Zweryfikuj dane adresu wysyłki i kontynuuj."
"Verify the billing address information and continue.","Zweryfikuj dane adresu rozliczeniowego i kontynuuj."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Ustaw metody wysyłki dla wszystkich adresów. Zweryfikuj metody wysyłki i spróbuj ponownie."
"A payment method isn't defined. Verify and try again.","Metoda płatności nie jest zdefiniowana. Zweryfikuj i spróbuj ponownie."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","Tej metody płatności nie można użyć do wysyłki na wiele adresów. Zmień metodę płatności i spróbuj ponownie."
"The item isn't found, or it's already ordered.","Przedmiot nie został znaleziony lub został już zamówiony."
"The payment method isn't selected. Enter the payment method and try again.","Metoda płatności nie została wybrana. Wprowadź metodę płatności i spróbuj ponownie."
"Some addresses can't be used due to the configurations for specific countries.","Niektóre adresy nie mogą być używane ze względu na konfiguracje dla określonych krajów."
"MySQL Message Queue Cleanup","Porządkowanie kolejki komunikatów MySQL"
"All the times are in minutes. Use ""0"" if you want to skip automatic clearance.","Wszystkie wartości powinny być podane w minutach. Użyj ""0"", aby zrezygnować z automatycznego czyszczenia."
"Retry Messages In Progress After","Ponów wiadomości po postępie"
"Successful Messages Lifetime","Czas życia pomyślnych komunikatów"
"Failed Messages Lifetime","Czas życia komunikatów o niepowodzeniu"
"New Messages Lifetime","Czas życia nowych komunikatów"
"MySQL Message Queue Cleanup - all the times are in minutes. Use ""0"" if you want to skip automatic clearance","MySQL Message Queue Cleanup - wszystkie czasy podane są w minutach. Użyj ""0"", jeśli chcesz pominąć automatyczne czyszczenie."
"Catalog Total Price (Excl. Tax)","Całkowita cena katalogowa (bez podatku)"
"Catalog Total Price (Incl. Tax)","Całkowita cena katalogowa (z podatkiem)"
"Catalog Total Price","Całkowita cena katalogowa"
"Negotiated Discount","Wynegocjowany rabat"
"Save as Draft","Zapisz jako wersję roboczą"
Decline,Spadek
"This action cannot be performed because you have products requiring attention. You must resolve these issues before you can continue.","Nie można wykonać tej akcji, ponieważ istnieją produkty wymagające uwagi. Przed kontynuowaniem musisz rozwiązać te problemy."
"Cannot Perform the Requested Action","Nie można wykonać żądanej akcji"
"%creator (for %customer)","%creator (dla %customer)"
"Items Quoted","Cytowane przedmioty"
"Subtotal (Incl. Tax)","Suma częściowa (z podatkiem)"
"Subtotal (Excl. Tax)","Suma częściowa (bez podatku)"
"Add to Quote by SKU","Dodaj do oferty według SKU"
"Add to Quote","Dodaj do wyceny"
"Total Cost","Całkowity koszt"
"Negotiated Price","Wynegocjowana cena"
"Shipping & Handling","Wysyłka i obsługa"
"Quote Subtotal (Incl. Tax)","Suma częściowa oferty (z podatkiem)"
"Percentage Discount","Rabat procentowy"
"Amount Discount","Kwota Zniżka"
"Proposed Price","Proponowana cena"
"Quote Subtotal","Suma częściowa oferty"
"My Quotes","Moje cytaty"
"created quote","utworzony cytat"
"closed quote","zamknięty cytat"
"updated quote","zaktualizowany cytat"
"Percentage Discount - %1%","Rabat procentowy - %1%"
"Amount Discount - %1","Kwota Rabat - %1"
"Proposed Price - %1","Proponowana cena - %1"
Qty:,Ilość:
"Qty: ","Ilość: "
" - deleted from catalog"," - usunięte z katalogu"
(Removed),(Usunięto)
deleted,usunięty
"Renderer list for block ""%1"" is not defined","Lista renderowania dla bloku ""%1"" nie jest zdefiniowana"
"This quote is currently locked for editing. It will become available once released by the Merchant.","Ta oferta jest obecnie zablokowana do edycji. Zostanie udostępniony po opublikowaniu przez sprzedawcę."
"Your quote has expired and the product prices have been updated as per the latest prices in your catalog. You can either re-submit the quote to seller for further negotiation or go to checkout.","Twoja wycena wygasła, a ceny produktów zostały zaktualizowane zgodnie z najnowszymi cenami w katalogu. Możesz ponownie przesłać ofertę do sprzedawcy w celu dalszych negocjacji lub przejść do kasy."
"You are not an owner of this quote. You cannot edit it or take any actions on it.","Nie jesteś właścicielem tego cytatu. Nie możesz go edytować ani wykonywać na nim żadnych działań."
"Estimated Tax","Szacowany podatek"
"Quote Subtotal (Excl. Tax)","Suma częściowa oferty (bez podatku)"
"Quote Grand Total (Incl. Tax)","Całkowita kwota oferty (z podatkiem)"
"Grand Total to Be Charged","Całkowita kwota do pobrania"
"Requested quote was not found","Nie znaleziono żądanej oferty"
Quotes,Cytaty
"Something went wrong during quote declining","Coś poszło nie tak podczas odrzucania wyceny"
"Attachment not found.","Nie znaleziono załącznika."
"Quote #%1","Cytat #%1"
"Exception occurred during quote print: %1","Wystąpił wyjątek podczas drukowania cytatu: %1"
"Exception occurred during update quote","Wystąpił wyjątek podczas wyceny aktualizacji"
"Exception occurred during quote saving","Wystąpił wyjątek podczas zapisywania wyceny"
"The changes have been saved.","Zmiany zostały zapisane."
"The quote has been sent to the buyer.","Wycena została wysłana do kupującego."
"Exception occurred during quote sending","Wystąpił wyjątek podczas wysyłania oferty"
"Exception occurred during quote view %1","Wystąpił wyjątek podczas widoku wyceny %1"
"Requested quote was not found.","Nie znaleziono żądanej oferty."
"An error occurred on the server. %1","Wystąpił błąd na serwerze. %1"
"This quote is currently locked for editing. It will become available once released by the buyer.","Ta oferta jest obecnie zablokowana do edycji. Zostanie ona udostępniona po jej opublikowaniu przez kupującego."
"An error occurred while quote creation.","Wystąpił błąd podczas tworzenia cytatu."
"%1 products require your attention. Please contact the Seller if you have any questions.","%1 produkty wymagają uwagi. W razie jakichkolwiek pytań prosimy o kontakt ze sprzedawcą."
"You closed the quote.","Zamknąłeś cytat."
"We can't close the quote right now because of an error: %1.","Nie możemy teraz zamknąć cytatu z powodu błędu: %1."
"We can't close the quote right now.","Nie możemy teraz zamknąć wyceny."
"An error occurred while creating quote.","Wystąpił błąd podczas tworzenia cytatu."
"Quote with ID %1 was successfully created.","Cytat o ID %1 został pomyślnie utworzony."
"The quote could not be created. Please try again later.","Nie można utworzyć oferty. Spróbuj ponownie później."
"You have deleted the quote.","Usunąłeś cytat."
"We can't delete the quote right now.","Nie możemy teraz usunąć cytatu."
"You've removed the item from quote.","Przedmiot został usunięty z oferty."
"We can't delete the quote item right now.","Nie możemy teraz usunąć elementu wyceny."
"You have updated the items in the quote.","Zaktualizowałeś elementy w wycenie."
"We can't update the items right now.","Nie możemy teraz zaktualizować przedmiotów."
"We can't order the quote right now because of an error: %1.","Nie możemy teraz zamówić wyceny z powodu błędu: %1."
"We can't order the quote right now.","Nie możemy teraz zamówić wyceny."
Quote,Cytat
"This quote will be charged in %1. The prices are given in %2 as reference only.","Opłata za tę ofertę zostanie naliczona w %1. Ceny są podane w %2 wyłącznie jako odniesienie."
"We can't send the quote right now because of an error: %1.","Nie możemy teraz wysłać oferty z powodu błędu: %1."
"We can't send the quote right now.","Nie możemy teraz wysłać wyceny."
"Cannot obtain the requested data. You must fix the errors listed below first.","Nie można uzyskać żądanych danych. W pierwszej kolejności należy naprawić błędy wymienione poniżej."
"Requested attachment is not found. Row ID: %fieldName = %fieldValue","Żądany załącznik nie został znaleziony. Identyfikator wiersza: %fieldName = %fieldValue"
"Requested quote is not found. Row ID: %fieldName = %fieldValue","Żądana wycena nie została znaleziona. Identyfikator wiersza: %fieldName = %fieldValue"
"There was an error saving comment.","Wystąpił błąd podczas zapisywania komentarza."
"Cannot delete comment with id %1","Nie można usunąć komentarza o id %1"
"There was an error saving company quote config.","Wystąpił błąd podczas zapisywania konfiguracji oferty firmy."
" - deleted"," - usunięty"
"Product with ID #%1 is deleted","Produkt o ID #%1 został usunięty"
"There was an error saving history log.","Wystąpił błąd podczas zapisywania dziennika historii."
"There was an error during updating history log.","Wystąpił błąd podczas aktualizacji dziennika historii."
"Could not save history log","Nie można zapisać dziennika historii"
"Cannot delete history log with id %1","Nie można usunąć dziennika historii o id %1"
"There was an error saving negotiable quote item.","Wystąpił błąd podczas zapisywania pozycji wyceny podlegającej negocjacjom."
"Cannot send a B2B quote.","Nie można wysłać oferty B2B."
"Cannot create a B2B quote.","Nie można utworzyć oferty B2B."
"Changes to the negotiated quote were not saved. Please try again.","Zmiany w wynegocjowanej wycenie nie zostały zapisane. Spróbuj ponownie."
"Cannot delete negotiable quote","Nie można usunąć oferty podlegającej negocjacjom"
"Shipping method cannot be set for a virtual quote.","Nie można ustawić metody wysyłki dla wirtualnej wyceny."
"Cannot add the shipping method. You must add a shipping address into the quote first.","Nie można dodać metody wysyłki. Najpierw musisz dodać adres wysyłki do wyceny."
"Requested shipping method is not found. Row ID: ShippingMethodID = %ShippingMethodID.","Żądana metoda wysyłki nie została znaleziona. Identyfikator wiersza: ShippingMethodID = %ShippingMethodID."
"Product with SKU %1 not found","Nie znaleziono produktu o jednostce SKU %1"
"Negotiated quote not found.","Nie znaleziono wynegocjowanej oferty."
"Catalog Price: ","Cena katalogowa:"
"Quote Discount","Cytat Zniżka"
"Discount amount: ","Kwota rabatu:"
"Cart Price: ","Cena koszyka:"
"Unable to update shipping address","Nie można zaktualizować adresu dostawy"
"Cannot save removed quote item notification","Nie można zapisać powiadomienia o usuniętym elemencie oferty"
"Only for use within frontend area","Tylko do użytku w obszarze frontendu"
"There is an error while saving comment.","Wystąpił błąd podczas zapisywania komentarza."
"Cannot save comment:\n%1","Nie można zapisać komentarza:\n%1"
discount,rabat
"%1 - deleted","%1 - usunięty"
"Cart rule deleted.","Usunięto regułę koszyka."
"Products %1","Produkty %1"
"Client reviewed","Przegląd klienta"
Submitted,Zgłoszony
Declined,Odrzucono
"Catalog prices have changed, and you may want to review the offer. Details about the changes are available in the History Log.","Ceny katalogowe uległy zmianie i warto zapoznać się z ofertą. Szczegóły dotyczące zmian są dostępne w dzienniku historii."
"The discount has changed for this quote. Check the History Log for details.","Rabat dla tej oferty uległ zmianie. Sprawdź szczegóły w dzienniku historii."
"The discount for this quote has been removed because the buyer has reached the maximum number of attempts to request a discount. You may want to review the offer amount.","Rabat dla tej oferty został usunięty, ponieważ kupujący osiągnął maksymalną liczbę prób uzyskania rabatu. Warto sprawdzić kwotę oferty."
"The discount for this quote has been removed because the cart rule has been deleted. You may want to review the offer amount.","Rabat dla tej oferty został usunięty, ponieważ reguła koszyka została usunięta. Warto sprawdzić kwotę oferty."
"Quote taxes have been recalculated because the buyer added or changed the shipping address. You may want to review the offer amount.","Podatki zostały ponownie obliczone, ponieważ kupujący dodał lub zmienił adres wysyłki. Warto sprawdzić kwotę oferty."
"Buyer added or changed the shipping address. You may want to offer the shipping price or / and review the offer amount.","Kupujący dodał lub zmienił adres wysyłki. Możesz zaoferować cenę wysyłki lub / i zweryfikować kwotę oferty."
"has been deleted from the catalog, so the items quoted list has been updated.","została usunięta z katalogu, więc lista cytowanych pozycji została zaktualizowana."
"have been deleted from the catalog, so the items quoted list has been updated.","zostały usunięte z katalogu, więc lista cytowanych pozycji została zaktualizowana."
"has been deleted from the quote. You may want to review the offer amount.","została usunięta z oferty. Warto sprawdzić kwotę oferty."
"has been deleted from the catalog. The items quoted list has been updated.","została usunięta z katalogu. Lista cytowanych pozycji została zaktualizowana."
"have been deleted from the quote. You may want to review the offer amount.","zostały usunięte z oferty. Warto sprawdzić kwotę oferty."
"have been deleted from the catalog. The items quoted list has been updated.","zostały usunięte z katalogu. Lista cytowanych pozycji została zaktualizowana."
"Catalog prices have changed. You may want to re-submit this quote. Details about the changes are available in the History Log.","Ceny katalogowe uległy zmianie. Możesz chcieć ponownie przesłać tę ofertę. Szczegóły dotyczące zmian są dostępne w dzienniku historii."
"The discount for this quote has been removed because you have already used your discount on previous orders. Please re-submit the quote to the Seller for further negotiation.","Rabat dla tej oferty został usunięty, ponieważ rabat został już wykorzystany przy poprzednich zamówieniach. Prosimy o ponowne przesłanie oferty do sprzedawcy w celu dalszych negocjacji."
"The discount is no longer valid for this quote, and the prices have been updated. Please re-submit the quote to the Seller for further negotiation.","Rabat nie jest już ważny dla tej oferty, a ceny zostały zaktualizowane. Prosimy o ponowne przesłanie oferty do sprzedawcy w celu dalszych negocjacji."
"Quote taxes have been recalculated because you have added or changed the shipping address. The negotiated price is no longer valid. Please re-submit the quote to Seller.","Podatki zostały ponownie obliczone, ponieważ dodano lub zmieniono adres wysyłki. Wynegocjowana cena nie jest już ważna. Prześlij ponownie ofertę do sprzedawcy."
"You have added or changed the shipping address on this quote. Please re-submit the quote to Seller.","Dodałeś lub zmieniłeś adres wysyłki w tej wycenie. Prześlij ponownie ofertę do sprzedawcy."
"is no longer available in catalog. It was removed from your quote.","nie jest już dostępna w katalogu. Został on usunięty z oferty."
"are no longer available in catalog. They were removed from your quote.","nie są już dostępne w katalogu. Zostały one usunięte z oferty."
"is no longer available. It was removed from your quote.","nie jest już dostępna. Został on usunięty z oferty."
"are no longer available. They were removed from your quote.","nie są już dostępne. Zostały one usunięte z wyceny."
"The quote %quoteId is currently locked, and you cannot place an order from it at the moment.","Kwotowanie %quoteId jest obecnie zablokowane i nie można złożyć z niego zamówienia."
"The quote %quoteId is currently locked and cannot be closed.","Kwotowanie %quoteId jest obecnie zablokowane i nie można go zamknąć."
"Invalid attribute %fieldName: Cannot create a B2B Quote for an individual user. The user must be a company member. Row ID: %fieldName = %fieldValue","Nieprawidłowy atrybut %fieldName: Nie można utworzyć oferty B2B dla indywidualnego użytkownika. Użytkownik musi być członkiem firmy. Identyfikator wiersza: %fieldName = %fieldValue"
"Invalid attribute %fieldName: Quoting is not allowed for this company. Row ID: %fieldName = %fieldValue","Nieprawidłowy atrybut %fieldName: Cytowanie jest niedozwolone dla tej firmy. Identyfikator wiersza: %fieldName = %fieldValue"
"The quote %quoteId is currently locked and cannot be declined.","Kwotowanie %quoteId jest obecnie zablokowane i nie można go odrzucić."
"The quote %quoteId is currently locked and cannot be updated. Please check the quote status.","Kwotowanie %quoteId jest obecnie zablokowane i nie można go zaktualizować. Sprawdź status oferty."
"The expiration date is in the wrong format. The correct format is %dateformat.","Data wygaśnięcia ma nieprawidłowy format. Prawidłowy format to %dateformat."
"Cannot update the expiration date. You must specify today's date or a future date.","Nie można zaktualizować daty wygaśnięcia. Należy określić dzisiejszą lub przyszłą datę."
"Cannot create the B2B quote. You cannot attach more than ten files per one request.","Nie można utworzyć oferty B2B. Nie można dołączyć więcej niż dziesięciu plików do jednego żądania."
"%fileType is not an allowed file type. Please select a different file.","%fileType nie jest dozwolonym typem pliku. Wybierz inny plik."
"The maximum file name length is 20 characters. The only special symbols that are allowed in the file name are: dash and underscore. Row ID: %fieldName = %fieldValue","Maksymalna długość nazwy pliku wynosi 20 znaków. Jedyne symbole specjalne, które są dozwolone w nazwie pliku to: myślnik i podkreślenie. Identyfikator wiersza: %fieldName = %fieldValue"
"Cannot attach the file %filename. The maximum allowed file size is %size Mb.","Nie można dołączyć pliku %filename. Maksymalny dozwolony rozmiar pliku to %size Mb."
"Invalid attribute value. Row ID: %fieldName = %fieldValue","Nieprawidłowa wartość atrybutu. Identyfikator wiersza: %fieldName = %fieldValue"
"Invalid attribute value. The price must be NULL, 0 or a positive number. Row ID: %fieldName = %fieldValue","Nieprawidłowa wartość atrybutu. Cena musi być NULL, 0 lub liczbą dodatnią. Identyfikator wiersza: %fieldName = %fieldValue"
"You cannot update the quote status.","Nie można zaktualizować statusu oferty."
"Invalid attribute %fieldName: A B2B quote for this quoteID already exists. Row ID: %fieldName = %fieldValue","Nieprawidłowy atrybut %fieldName: Cytat B2B dla tego identyfikatora quoteID już istnieje. Identyfikator wiersza: %fieldName = %fieldValue"
"Cannot create a B2B quote. You must provide one or more quote items.","Nie można utworzyć oferty B2B. Musisz podać jedną lub więcej pozycji wyceny."
"'Cannot create the B2B quote.' .","""Nie można utworzyć oferty B2B."" ."
